FI1201;Laboratorio fisica general I;1;;FI1101;1@ALFARO ALVARADO JOSE ABRAHAN@THU,07:30,09:20|2@ALFARO ALVARADO JOSE ABRAHAN@THU,17:00,18:50|3@CAMBRONERO CORDERO MICHAEL@WED,15:00,16:50|4@CAMBRONERO CORDERO MICHAEL@WED,17:00,18:50|5@CAMPOS RODRIGUEZ MELANIA@TUE,13:00,14:50|6@CAMPOS RODRIGUEZ MELANIA@TUE,15:00,16:50|7@CORRALES QUESADA ESTEBAN@WED,17:00,18:50|8@CORRALES QUESADA ESTEBAN@FRI,13:00,14:50|9@ELIZONDO ZUÑIGA JENNIFER@WED,09:30,11:20|10@JIMENEZ CARBALLO CARLOS ADRIAN@TUE,09:30,11:20|11@JIMENEZ CARBALLO CARLOS ADRIAN@WED,09:30,11:20|12@MAYORGA ESPINOZA CARLOS@WED,13:00,14:50|13@MONTERO ZELEDON ERNESTO@THU,09:30,11:20|14@MORALES MUÑOZ WALTER@THU,15:00,16:50|15@MORALES MUÑOZ WALTER@FRI,07:30,09:20|16@MORALES MUÑOZ WALTER@FRI,09:30,11:20|17@MORALES MUÑOZ WALTER@THU,13:00,14:50|18@OREAMUNO MADRIZ RAFAEL@TUE,13:00,14:50|19@PEREZ HIDALGO JOSE ESTEBAN@WED,07:30,09:20|20@SEGURA CARVAJAL MARCOS@TUE,17:00,18:50|21@SEGURA CARVAJAL MARCOS@WED,15:00,16:50|22@SEGURA CARVAJAL MARCOS@THU,17:00,18:50|23@SEVILLA QUESADA EVAR@TUE,07:30,09:20|24@SOLANO PIEDRA RICARDO ADOLFO@TUE,09:30,11:20|25@SOLANO PIEDRA RICARDO ADOLFO@THU,09:30,11:20
FI1102;Fisica general II;3;FI1101;MA1102;1@AMADOR JARA ALVARO@TUE,09:30,11:20+THU,09:30,11:20|2@CORRALES QUESADA ESTEBAN@WED,15:00,16:50+FRI,15:00,16:50|3@LOBO ZAMORA JUAN CARLOS@TUE,07:30,09:20+THU,07:30,09:20|4@MURILLO ZUMBADO GUSTAVO@WED,07:30,09:20+FRI,07:30,09:20|5@MURILLO ZUMBADO GUSTAVO@TUE,09:30,11:20+THU,09:30,11:20|6@OREAMUNO MADRIZ RAFAEL@WED,13:00,14:50+FRI,13:00,14:50|7@PEREZ HIDALGO JOSE ESTEBAN@WED,09:30,11:20+FRI,09:30,11:20|8@PINEDA LIZANO JUAN JOSE@TUE,17:00,18:50+THU,17:00,18:50|9@PINEDA LIZANO JUAN JOSE@TUE,13:00,14:50+THU,13:00,14:50|10@SOTO CHINCHILLA YERRY@TUE,07:30,09:20+THU,07:30,09:20|11@VARGAS BLANCO IVAN@TUE,09:30,11:20+THU,09:30,11:20
FI1202;Laboratorio fisica general II;1;FI1201;FI1102;1@ARAYA SOLANO LUIS ALONSO@TUE,09:30,11:20|2@ARAYA SOLANO LUIS ALONSO@TUE,13:00,14:50|3@JIMENEZ CARBALLO CARLOS ADRIAN@WED,07:30,09:20|4@MORALES MUÑOZ WALTER@THU,09:30,11:20|5@MORALES MUÑOZ WALTER@FRI,13:00,14:50|6@MURILLO ZUMBADO GUSTAVO@WED,09:30,11:20|7@OREAMUNO MADRIZ RAFAEL@WED,15:00,16:50|8@ROJAS ROJAS LAURA@WED,13:00,14:50|9@SEVILLA QUESADA EVAR@TUE,17:00,18:50
FI2103;Fisica general III;3;FI1101/MA1102;;1@ARAYA SOLANO LUIS ALONSO@TUE,15:00,16:50+THU,15:00,16:50|2@FONT CRUZ EDUARDO@TUE,17:00,18:50+THU,17:00,18:50|3@GUTIERREZ CHAVES CARLOS ROBERTO@WED,15:00,16:50+FRI,15:00,16:50|4@LOBO ZAMORA JUAN CARLOS@TUE,13:00,14:50+THU,13:00,14:50|5@LOBO ZAMORA JUAN CARLOS@TUE,09:30,11:20+THU,09:30,11:20|6@MONTERO ZELEDON ERNESTO@TUE,07:30,09:20+THU,07:30,09:20|7@OREAMUNO MADRIZ RAFAEL@WED,09:30,11:20+FRI,09:30,11:20|8@ROJAS PEREZ FRANCISCO@WED,13:00,14:50+FRI,13:00,14:50|9@ROJAS ROJAS LAURA@TUE,09:30,11:20+THU,09:30,11:20|10@SEGURA ZARATE ANA YANCY@WED,07:30,09:20+FRI,07:30,09:20
IF3502;Instrumentacion I;1;;MT2001/MT2002;1@FONT CRUZ EDUARDO@TUE,09:30,11:20|2@MOYA SERRANO ROY DAVID@TUE,07:30,09:20
MI3117;Dinamica;3;MI2106;;1@MONTERO JIMENEZ JUAN JOSE@WED,13:00,16:50|2@OTAROLA ZUÑIGA CARLOS@TUE,17:00,20:50|3@RICHMOND NAVARRO GUSTAVO@MON,07:30,11:20
MI2101;Dibujo tecnico;3;MA0101;;1@BERMUDEZ CHACON MARVIN@MON,07:30,11:20|2@BONILLA GUIDO FRANCISCO@MON,17:00,20:50|3@BONILLA GUIDO FRANCISCO@TUE,17:00,20:50|4@CORDOBA RAMIREZ LUIS FELIPE@TUE,07:30,11:20|5@GUZMAN CONEJO JOSHUA@WED,17:00,20:50|6@HERNANDEZ GONZALEZ VICTOR JULIO@WED,17:00,20:50|7@HERNANDEZ GONZALEZ VICTOR JULIO@THU,13:00,16:50|8@JACKSON QUIROS HERBERT@FRI,07:30,11:20|9@JIMENEZ CECILIANO MAXIMINO@TUE,17:00,20:50|10@MARIN GUILLEN FRANK@WED,07:30,11:20|11@MARIN GUILLEN FRANK@WED,13:00,16:50|12@ROJAS GOMEZ JULIO CESAR@FRI,13:00,16:50|13@UREÑA SANDI NOEL@FRI,07:30,11:20
MI2106;Estatica;3;FI1101;;1@GUERRERO FERNANDEZ JUAN LUIS@TUE,07:30,11:20|2@MATA COTO MANUEL@MON,07:30,11:20|3@MATA COTO MANUEL@THU,07:30,11:20|4@MONTERO JIMENEZ JUAN JOSE@THU,13:00,16:50|5@MORERA HIDALGO JULIO@TUE,07:30,11:20|6@MORERA HIDALGO JULIO@WED,07:30,11:20|7@SALAS MOYA LAURA@FRI,07:30,11:20|8@VEGA SANCHEZ CHRISTOPHER@TUE,13:00,16:50
MT2001;Circuitos electricos en CC y CA;3;FI1102;;1@MEZA OBANDO FELIPE@TUE,07:30,09:20+THU,07:30,09:20|2@MEZA OBANDO FELIPE@TUE,15:00,16:50+THU,15:00,16:50|3@VAQUERANO PINEDA NICOLAS@TUE,09:30,11:20+THU,09:30,11:20
MT2002;Laboratorio de circuitos de corriente continua y corriente alterna;1;MA1102;MT2001;1@ARIAS ESQUIVEL YEINER@TUE,13:00,14:50|2@ASENJO CASTILLO EDUARDO JOSE@WED,15:00,16:50|3@MELENDEZ POLTRONIERI ROGER@TUE,18:00,19:50|4@VILCHEZ MONGE MARTA@WED,07:30,09:20
CA2125;Elementos de computacion;3;;;1@BOGARIN NAVARRO RODRIGO@TUE,19:00,20:50+THU,19:00,20:50|2@CAMPOS FERNANDEZ IVAN@TUE,17:00,18:50+THU,17:00,18:50|3@CAMPOS FERNANDEZ IVAN@TUE,19:00,20:50+THU,19:00,20:50|4@CERDAS QUESADA IVANNIA@TUE,13:00,14:50+THU,13:00,14:50|5@COTO SARMIENTO LAURA@TUE,07:30,09:20+THU,07:30,09:20|6@COTO SARMIENTO LAURA@TUE,09:30,11:20+THU,09:30,11:20|7@HERNANDEZ SIBAJA BRYAN@TUE,13:00,14:50+THU,13:00,14:50|8@MATA RODRIGUEZ WILLIAM@WED,09:30,11:20+FRI,09:30,11:20|12@MATA RODRIGUEZ WILLIAM@WED,09:30,11:20+FRI,09:30,11:20|13@MATA RODRIGUEZ WILLIAM@WED,07:30,09:20+FRI,07:30,09:20|9@NAVAS SU JOSE DOLORES@TUE,19:00,20:50+THU,19:00,20:50|10@QUIROS RAMIREZ FRANCO@WED,13:00,14:50+FRI,13:00,14:50|11@VILLALOBOS ARIAS LUIS ROBERTO@TUE,17:00,18:50+THU,17:00,18:50
PI2609;Probabilidad y estadistica;2;MA2104;;1@HASBUM FERNANDEZ IVANNIA@WED,13:00,15:50+THU,13:00,15:50|2@SOLANO LEANDRO PAULA@MON,07:30,10:20
PI2610;Probabilidad y estadistica I;3;MA1102;CA2125;1@ALEGRIA GRANADOS MELISSA@WED,07:30,11:20|2@ROBLES OBANDO NATALIA@THU,13:00,16:50|3@SILES SOLANO ANA CATALINA@WED,17:00,20:50
SO4604;Seguridad y salud ocupacional;3;FI1102;;1@CARPIO CHAVES MONICA@THU,13:00,15:50|2@MORALES MARTINEZ GABRIELA@MON,07:30,10:20|3@MORALES MARTINEZ GABRIELA@THU,17:00,19:50|4@MORALES MARTINEZ GABRIELA@WED,13:00,15:50|5@MORALES MARTINEZ GABRIELA@FRI,07:30,10:20
EL2113;Circuitos electricos en corriente continua;4;FI1101/MA1102;;1@HERNANDEZ RIVERA MIGUEL@MON,07:30,09:20+WED,07:30,09:20|2@PEREZ RODRIGUEZ JAVIER@TUE,09:30,11:20+THU,09:30,11:20|3@PICADO GARCIA FABIAN ALBERTO@MON,07:30,11:20|4@VEGA CASTILLO PAOLA@WED,09:30,11:20+FRI,09:30,11:20
EL2114;Circuitos electricos en corriente alterna;4;EL2113;EL2207;1@CHINCHILLA VARGAS ERICK GUSTAVO@WED,17:00,18:50+FRI,17:00,18:50|2@HERRERO CHAVARRIA FELIPE@TUE,17:00,18:50+THU,17:00,18:50|3@QUIROS SOLANO WILLIAM@TUE,09:30,11:20+THU,09:30,11:20|4@VALVERDE GARDELA HEBERTH@WED,07:30,09:20+FRI,07:30,09:20
EL2207;Elementos activos;4;EL2113;;1@MONTERO RODRIGUEZ JUAN JOSE@TUE,07:30,09:20+THU,07:30,09:20|2@PINNOCK CHACON MAC ALFRED@WED,17:00,18:50+FRI,09:30,11:20|3@SEGURA QUIROS CARLOS@TUE,15:00,16:50+THU,15:00,16:50|4@VEGA CASTILLO PAOLA@WED,15:00,16:50+FRI,15:00,16:50
CI1106;Comunicacion escrita;2;;;1@AMADOR SOLANO GABRIELA@THU,09:30,12:20|2@ARCE FUENTES JOSE DANIEL@MON,18:00,20:50|3@RIOS SANCHEZ ARMANDO@WED,13:00,15:50|4@ROMERO ALVAREZ ERICKA@TUE,13:00,15:50|5@VARGAS CASTRO ERICKA@WED,09:30,12:20
