code;name;credits;prerequisites;corequisites;group_number;professor;day;start_hour;start_minute;end_hour;end_minute
MA1102;Calculo diferencial e integral;4;MA0101;;6;JIMENEZ MADRIGAL JORGE;SAB;7;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;7;LOPEZ MORA VERONICA;MIE;18;0;20;50
MA1102;Calculo diferencial e integral;4;MA0101;;7;LOPEZ MORA VERONICA;VIE;18;0;19;50
MA1102;Calculo diferencial e integral;4;MA0101;;8;MASIS FLORES DAVID;MAR;9;30;11;20
MA1102;Calculo diferencial e integral;4;MA0101;;8;MASIS FLORES DAVID;JUE;9;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;9;MASIS FLORES DAVID;MAR;16;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;9;MASIS FLORES DAVID;JUE;16;0;17;50
MA1102;Calculo diferencial e integral;4;MA0101;;10;MORA CASASOLA MARIA FERNANDA;MIE;17;0;19;50
MA1102;Calculo diferencial e integral;4;MA0101;;10;MORA CASASOLA MARIA FERNANDA;VIE;17;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;11;MORA PICADO LUIS FERNANDO;MIE;9;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;11;MORA PICADO LUIS FERNANDO;VIE;10;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;12;MORA PICADO LUIS FERNANDO;MIE;15;0;17;50
MA1102;Calculo diferencial e integral;4;MA0101;;12;MORA PICADO LUIS FERNANDO;VIE;15;0;16;50
MA1102;Calculo diferencial e integral;4;MA0101;;13;NUÑEZ VANEGAS FELIX;MIE;13;0;15;50
MA1102;Calculo diferencial e integral;4;MA0101;;13;NUÑEZ VANEGAS FELIX;VIE;13;0;14;50
MA1102;Calculo diferencial e integral;4;MA0101;;14;PAEZ PAEZ CRISTIAN;MAR;9;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;14;PAEZ PAEZ CRISTIAN;JUE;10;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;15;PAEZ PAEZ CRISTIAN;MIE;7;30;9;20
MA1102;Calculo diferencial e integral;4;MA0101;;15;PAEZ PAEZ CRISTIAN;VIE;7;30;10;20
MA1102;Calculo diferencial e integral;4;MA0101;;16;PARRA SALAZAR EDWARD;MAR;15;0;16;50
MA1102;Calculo diferencial e integral;4;MA0101;;16;PARRA SALAZAR EDWARD;JUE;15;0;17;50
MA1102;Calculo diferencial e integral;4;MA0101;;17;PARRA SALAZAR EDWARD;MIE;10;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;17;PARRA SALAZAR EDWARD;VIE;9;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;18;PARRA SALAZAR EDWARD;MIE;17;0;19;50
MA1102;Calculo diferencial e integral;4;MA0101;;18;PARRA SALAZAR EDWARD;VIE;17;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;19;QUESADA VILLALOBOS LOURDES;MAR;7;30;10;20
MA1102;Calculo diferencial e integral;4;MA0101;;19;QUESADA VILLALOBOS LOURDES;JUE;7;30;9;20
MA1102;Calculo diferencial e integral;4;MA0101;;20;QUESADA VILLALOBOS LOURDES;MAR;15;0;17;50
MA1102;Calculo diferencial e integral;4;MA0101;;20;QUESADA VILLALOBOS LOURDES;JUE;16;0;17;50
MA1102;Calculo diferencial e integral;4;MA0101;;21;RODRIGUEZ GRANADOS NATALIA;MAR;13;0;15;50
MA1102;Calculo diferencial e integral;4;MA0101;;21;RODRIGUEZ GRANADOS NATALIA;JUE;13;0;14;50
MA1102;Calculo diferencial e integral;4;MA0101;;22;SANCHEZ FERNANDEZ IVONNE;MIE;16;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;22;SANCHEZ FERNANDEZ IVONNE;VIE;16;0;17;50
MA1403;Matematica discreta;4;;;1;CHAVES SALAS LEONEL ROLANDO;MIE;7;30;9;20
MA1403;Matematica discreta;4;;;1;CHAVES SALAS LEONEL ROLANDO;VIE;7;30;9;20
MA1403;Matematica discreta;4;;;2;FALLAS MONGE JUAN JOSE;MIE;9;30;11;20
MA1403;Matematica discreta;4;;;2;FALLAS MONGE JUAN JOSE;VIE;9;30;11;20
