CI0200;Examen diagnostico;0;;;
CI0202;Ingles basico;2;;;1@ALBERTAZZI OSORIO SONIA@THU,18:00,20:50|2@ALBERTAZZI OSORIO SONIA@FRI,09:30,12:20|3@GOMEZ MONTOYA CARLOS ANDRES@WED,15:00,17:50|4@KENNEDY RUSSELL ANA@MON,18:00,20:50|5@KENNEDY RUSSELL ANA@TUE,13:00,15:50|6@MURILLO ESCALANTE ROCIO@THU,09:30,12:20|7@RIVERA VEGA KATERINE@TUE,17:00,19:50|8@VALLECILLO ALFARO JOHANNY@WED,13:00,15:50|9@VALLECILLO ALFARO JOHANNY@MON,09:30,12:20|10@VINDAS FERNANDEZ NURIA@THU,13:00,15:50
CI1106;Comunicacion escrita;2;;;1@AMADOR SOLANO GABRIELA@THU,09:30,12:20|2@ARCE FUENTES JOSE DANIEL@MON,18:00,20:50|3@RIOS SANCHEZ ARMANDO@WED,13:00,15:50|4@ROMERO ALVAREZ ERICKA@TUE,13:00,15:50|5@VARGAS CASTRO ERICKA@WED,09:30,12:20
CI1230;Ingles I;2;CI0200/CI0202;;1@ALBERTAZZI OSORIO SONIA@TUE,07:30,10:20|2@ALBERTAZZI OSORIO SONIA@THU,13:00,15:50|11@BRENES ROJAS LEONARDO@MON,07:30,10:20|3@GOMEZ MONTOYA CARLOS ANDRES@WED,18:00,20:50|4@GOMEZ MONTOYA CARLOS ANDRES@THU,18:00,20:50|5@GUILLEN JIMENEZ LUIS DIEGO@TUE,15:00,17:50|6@HERRERA JIMENEZ INGRID@TUE,09:30,12:20|7@MOLINA VILLALOBOS TANIA@THU,09:30,12:20|8@RAMIREZ CASTRO MONSERRAT@WED,09:30,12:20|9@SOLANO SOLANO JOSE EDUARDO@WED,13:00,15:50|10@SOLANO SOLANO JOSE EDUARDO@FRI,13:00,15:50
IF1101;Introduccion a la ingenieria fisica;3;;;
MA0101;Matematica general;2;;;1@AZOFEIFA CUBERO ROBERTO@WED,15:00,17:50+FRI,15:00,16:50|2@CORDERO QUIROS MARCIAL@TUE,13:00,15:50+THU,13:00,14:50|3@CORDERO QUIROS MARCIAL@TUE,18:00,20:50+THU,18:00,19:50|4@JIMENEZ MADRIGAL JORGE@TUE,15:00,16:50+THU,15:00,17:50|5@MARRERO CALVO MARCELA@WED,09:30,12:20+FRI,09:30,11:20|6@PRENDAS ROJAS JUAN PABLO@WED,16:00,18:50+FRI,17:00,18:50|7@QUESADA VILLALOBOS LOURDES@WED,13:00,15:50+FRI,13:00,14:50|8@RODRIGUEZ CASTRO BRYAN@TUE,16:00,18:50+THU,16:00,17:50|9@SANCHEZ FERNANDEZ IVONNE@WED,07:30,09:20+FRI,07:30,10:20|10@SOLANO VARELA DANIEL JESUS@SAT,07:30,12:20|11@SOLIS PALMA ANGIE@TUE,07:30,10:20+THU,07:30,09:20|12@VEGA VASQUEZ ARTURO@TUE,09:30,12:20+THU,09:30,11:20
QU1102;Laboratorio de quimica basica I;1;;QU1106;1@CALLEJA AMADOR CARLOS ENRIQUE@TUE,09:30,11:20|2@CALLEJA AMADOR CARLOS ENRIQUE@TUE,13:00,14:50|3@CALLEJA AMADOR CARLOS ENRIQUE@THU,13:00,14:50|4@LEDEZMA ESPINOZA AURA@FRI,13:00,14:50|5@HERNANDEZ ALPIZAR LAURA@WED,15:00,16:50|6@MATA MATA ALEJANDRA@TUE,15:00,16:50|7@MORA MOLINA JESUS@WED,07:30,09:20|8@MORA MOLINA JESUS@WED,09:30,11:20|9@MORA MOLINA JESUS@WED,13:00,14:50|10@QUIROS BUSTOS NOEMI@THU,07:30,09:20|11@QUIROS BUSTOS NOEMI@THU,09:30,11:20|12@SALAS JIMENEZ JUAN CARLOS@TUE,07:30,09:20|13@SOTO CORDOBA SILVIA@FRI,07:30,09:20
QU1106;Quimica basica I;3;;QU1102;1@CALLEJA AMADOR CARLOS ENRIQUE@TUE,07:30,09:20+THU,07:30,09:20|2@PORRAS ACOSTA MARIA@TUE,07:30,09:20+THU,07:30,09:20|3@PORRAS ACOSTA MARIA@TUE,09:30,11:20+THU,09:30,11:20|4@PORRAS ACOSTA MARIA@WED,09:30,11:20+FRI,09:30,11:20|5@QUIROS BUSTOS NOEMI@TUE,15:00,16:50+THU,15:00,16:50|6@SOTO CORDOBA SILVIA@TUE,13:00,14:50+THU,13:00,14:50|7@VILLALTA ROMERO FABIAN@WED,13:00,14:50+FRI,13:00,14:50
CI1107;Comunicacion oral;1;CI1106;;1@AMADOR SOLANO GABRIELA@TUE,09:30,12:20|2@AMADOR SOLANO GABRIELA@FRI,09:30,12:20|3@ARCE FUENTES JOSE DANIEL@THU,18:00,20:50|4@ARCE FUENTES JOSE DANIEL@FRI,17:00,19:50|5@CASTILLO RODRIGUEZ LARISSA@MON,07:30,10:20|6@CASTILLO RODRIGUEZ LARISSA@MON,18:00,20:50|7@CASTILLO RODRIGUEZ LARISSA@TUE,07:30,10:20|8@CASTILLO RODRIGUEZ LARISSA@TUE,13:00,15:50|9@CASTILLO RODRIGUEZ LARISSA@TUE,16:00,18:50|10@CASTILLO RODRIGUEZ LARISSA@WED,07:30,10:20|11@MORALES GARAY SARAY@TUE,07:30,10:20|12@MORALES GARAY SARAY@THU,07:30,10:20|13@MORALES GARAY SARAY@FRI,07:30,10:20|14@MORALES SOLANO PAOLA NATALIA@MON,18:00,20:50|15@MORALES SOLANO PAOLA NATALIA@THU,17:00,19:50|16@MORALES SOLANO PAOLA NATALIA@FRI,16:00,18:50|17@PEREZ ROJAS NELSON@MON,09:30,12:20|18@PEREZ ROJAS NELSON@THU,09:30,12:20|19@RIOS SANCHEZ ARMANDO@WED,09:30,12:20|20@RODRIGUEZ HERRA NATALIA@WED,13:00,15:50|21@RODRIGUEZ HERRA NATALIA@WED,17:00,19:50|22@ROMERO ALVAREZ ERICKA@THU,09:30,12:20|23@ROMERO ALVAREZ ERICKA@THU,13:00,15:50|24@ROMERO ALVAREZ ERICKA@FRI,09:30,12:20|25@SANCHEZ SANCHEZ DANIELA@WED,16:00,18:50|26@SHILTAGH PRADA DIMITRI@TUE,13:00,15:50|27@SHILTAGH PRADA DIMITRI@TUE,18:00,20:50|28@SHILTAGH PRADA DIMITRI@WED,13:00,15:50|29@SHILTAGH PRADA DIMITRI@WED,18:00,20:50|30@SHILTAGH PRADA DIMITRI@THU,13:00,15:50|31@SHILTAGH PRADA DIMITRI@FRI,13:00,15:50|32@SOLANO MORAGA SIGRID@THU,15:00,17:50
CI1231;Ingles II;2;CI1230;;1@ALBERTAZZI OSORIO SONIA@TUE,13:00,15:50|2@FUENTES MORA ESTEBAN@WED,13:00,15:50|3@GOMEZ MONTOYA CARLOS ANDRES@TUE,18:00,20:50|4@HERRERA JIMENEZ INGRID@MON,18:00,20:50|5@KENNEDY RUSSELL ANA@TUE,07:30,10:20|6@SOLANO OBANDO MABEL@MON,09:30,12:20|7@SOLANO OBANDO MABEL@WED,09:30,12:20|8@SOLANO OBANDO MABEL@THU,09:30,12:20|9@SOLANO OBANDO MABEL@WED,16:00,18:50|10@VALLECILLO ALFARO JOHANNY@FRI,09:30,12:20|11@VALLECILLO ALFARO JOHANNY@FRI,13:00,15:50
